event_type,period,timestamp,possession_team,player,outcome,start_location_x,start_location_y
pass,1,00:00:00.340,Brazil,Neymar da Silva Santos Junior,Complete,60.0,40.0
pass,1,00:00:02.460,Brazil,Fernando Luiz Rosa,Complete,39.0,39.0
pass,1,00:00:03.620,Brazil,Philippe Coutinho Correia,Complete,48.0,27.0
pass,1,00:00:05.060,Brazil,Fernando Luiz Rosa,Complete,42.0,33.0
pass,1,00:00:07.700,Brazil,Marcelo Vieira da Silva Júnior,Complete,40.0,14.0
pass,1,00:00:09.620,Brazil,João Miranda de Souza Filho,Complete,26.0,22.0
pass,1,00:00:12.180,Brazil,Thiago Emiliano da Silva,Complete,27.0,44.0
pass,1,00:00:14.820,Brazil,Fágner Conserva Lemos,Complete,32.0,69.0
pass,1,00:00:17.260,Brazil,Thiago Emiliano da Silva,Complete,28.0,52.0
pass,1,00:00:21.940,Brazil,João Miranda de Souza Filho,Complete,36.0,33.0
pass,1,00:00:26.020,Brazil,Thiago Emiliano da Silva,Complete,41.0,51.0
pass,1,00:00:28.780,Brazil,Fágner Conserva Lemos,Complete,44.0,77.0
pass,1,00:00:45.460,Belgium,Jan Vertonghen,Complete,67.0,1.0
pass,1,00:00:48.820,Belgium,Vincent Kompany,Complete,39.0,22.0
pass,1,00:00:51.460,Belgium,Toby Alderweireld,Complete,30.0,51.0
pass,1,00:00:53.700,Belgium,Vincent Kompany,Complete,29.0,33.0
pass,1,00:01:12.820,Brazil,Alisson Ramsés Becker,Complete,5.0,39.0
pass,1,00:01:18.500,Brazil,Thiago Emiliano da Silva,Complete,9.0,64.0
pass,1,00:01:20.420,Brazil,Fágner Conserva Lemos,Complete,29.0,77.0
pass,1,00:01:22.940,Brazil,José Paulo Bezzera Maciel Júnior,Incomplete,47.0,79.0
pass,1,00:01:24.460,Brazil,José Paulo Bezzera Maciel Júnior,Incomplete,54.0,79.0
pass,1,00:01:25.460,Brazil,Jan Vertonghen,Incomplete,65.0,7.0
pass,1,00:01:27.260,Brazil,Fernando Luiz Rosa,Incomplete,42.0,62.0
pass,1,00:01:28.260,Brazil,Jan Vertonghen,Incomplete,71.0,23.0
pass,1,00:01:54.740,Brazil,Thiago Emiliano da Silva,Complete,15.0,57.0
pass,1,00:01:58.700,Brazil,Fágner Conserva Lemos,Complete,45.0,78.0
pass,1,00:02:08.380,Belgium,Jan Vertonghen,Complete,67.0,2.0
pass,1,00:02:12.740,Belgium,Vincent Kompany,Complete,22.0,20.0
pass,1,00:02:15.900,Belgium,Toby Alderweireld,Complete,24.0,52.0
pass,1,00:02:19.580,Belgium,Vincent Kompany,Complete,16.0,29.0
pass,1,00:02:22.100,Belgium,Toby Alderweireld,Complete,15.0,50.0
pass,1,00:02:24.980,Belgium,Romelu Lukaku Menama,Complete,59.0,53.0
pass,1,00:02:28.980,Belgium,Thomas Meunier,Complete,68.0,79.0
pass,1,00:02:29.820,Belgium,Marouane Fellaini-Bakkioui,Complete,60.0,72.0
pass,1,00:02:31.100,Belgium,Thomas Meunier,Complete,56.0,79.0
pass,1,00:02:36.420,Belgium,Toby Alderweireld,Complete,15.0,69.0
pass,1,00:02:42.980,Belgium,Thomas Meunier,Complete,31.0,80.0
pass,1,00:02:43.980,Belgium,Axel Witsel,Complete,30.0,68.0
pass,1,00:02:48.700,Brazil,Neymar da Silva Santos Junior,Complete,92.0,6.0
pass,1,00:02:49.580,Brazil,Gabriel Fernando de Jesus,Complete,101.0,25.0
pass,1,00:02:51.060,Brazil,Neymar da Silva Santos Junior,Incomplete,107.0,16.0
pass,1,00:03:02.753,Belgium,Thibaut Courtois,Complete,11.0,35.0
pass,1,00:03:05.100,Belgium,Jan Vertonghen,Complete,13.0,15.0
pass,1,00:03:08.500,Belgium,Thibaut Courtois,Complete,6.0,28.0
pass,1,00:03:10.780,Belgium,Eden Hazard,Incomplete,54.0,23.0
pass,1,00:03:11.940,Belgium,Fernando Luiz Rosa,Complete,53.0,55.0
